name,abbr,altitude,lat,lon,county,month,storage
UPPER_KLAMATH,KLM,4097,42.25,-121.815,SISKIYOU,01/2005,353813
UPPER_KLAMATH,KLM,4097,42.25,-121.815,SISKIYOU,02/2005,349370
UPPER_KLAMATH,KLM,4097,42.25,-121.815,SISKIYOU,03/2005,463569
SAN_PABLO,SPB,330,37.958,-122.333,CONTRA_COSTA,12/2007,18325
SAN_PABLO,SPB,330,37.958,-122.333,CONTRA_COSTA,01/2008,22700
NACIMIENTO,NCM,784,35.758,-120.884,SAN_LUIS_OBISPO,06/2008,175560
